Id,ParentId,AssetRating,AssetSource,DisplayCategory,DisplayName,DisplayPublisher,Keywords,LastRelease,LatestVersion,License,Location,PackageSource,PackageTags,PriceUsd,PurchaseDate,RatingCount,Revision,SafeCategory,SafeName,SafePublisher,SupportedUnityVersions,Version
2387,0,0,CustomPackage,,(UNITY_URP)_Castle_and_Modular_Pieces_GDTV,,,8/24/2023 21:28,,,E:/Game Assets/GameDevTV/(UNITY_URP)_Castle_and_Modular_Pieces_GDTV.unitypackage,Unknown,,0,,0,0,,(UNITY_URP)_Castle_and_Modular_Pieces_GDTV,,,
2388,0,0,CustomPackage,,(UNITY_URP)_Frontier_Facilities_Prop_Kit_GDTV,,,3/12/2024 21:59,,,E:/Game Assets/GameDevTV/(UNITY_URP)_Frontier_Facilities_Prop_Kit_GDTV.unitypackage,Unknown,,0,,0,0,,(UNITY_URP)_Frontier_Facilities_Prop_Kit_GDTV,,,
1527,0,0,CustomPackage,,(UNITY_URP)_PARTS_Sci-Fi_Modular_Starships_&_Carriers Kit_GDTV,,,10/10/2025 7:01,,,E:/Game Assets/GameDevTV/(UNITY_URP)_PARTS_Sci-Fi_Modular_Starships_&_Carriers Kit_GDTV.unitypackage,Unknown,,0,,0,0,,(UNITY_URP)_PARTS_Sci-Fi_Modular_Starships_&_Carriers Kit_GDTV,,,
2385,0,0,CustomPackage,,(UNITY_URP)_Sci-Fi_Modular_Outpost_Base_Builder_Kit,,,2/19/2024 15:27,,,E:/Game Assets/GameDevTV/(UNITY_URP)_Sci-Fi_Modular_Outpost_Base_Builder_Kit.unitypackage,Unknown,,0,,0,0,,(UNITY_URP)_Sci-Fi_Modular_Outpost_Base_Builder_Kit,,,
2389,0,0,CustomPackage,,(UNITY_URP)_Science_Fiction_Megapack,,,3/12/2024 22:01,,,E:/Game Assets/GameDevTV/(UNITY_URP)_Science_Fiction_Megapack.unitypackage,Unknown,,0,,0,0,,(UNITY_URP)_Science_Fiction_Megapack,,,
1528,0,0,CustomPackage,,(UNITY_URP)VEHICLES_Sci-Fi_Modular_Starships_&_Carriers Kit_GDTV,,,10/10/2025 7:01,,,E:/Game Assets/GameDevTV/(UNITY_URP)VEHICLES_Sci-Fi_Modular_Starships_&_Carriers Kit_GDTV.unitypackage,Unknown,,0,,0,0,,(UNITY_URP)VEHICLES_Sci-Fi_Modular_Starships_&_Carriers Kit_GDTV,,,
2386,0,0,CustomPackage,,(UNITY_URP_ANIMATED)_V2_Castle_Village_Characters_GDTV,,,3/1/2024 16:39,,,E:/Game Assets/GameDevTV/(UNITY_URP_ANIMATED)_V2_Castle_Village_Characters_GDTV.unitypackage,Unknown,,0,,0,0,,(UNITY_URP_ANIMATED)_V2_Castle_Village_Characters_GDTV,,,
1806,0,0,CustomPackage,,1.2_StarterAssets,,,10/14/2025 16:48,,,E:/Game Assets/20thAnniversary_Unity_Assets/1.2_StarterAssets/1.2_StarterAssets/1.2_StarterAssets.unitypackage,Unknown,,0,,0,0,,1.2_StarterAssets,,,
2143,0,0,CustomPackage,Shaders/Fullscreen & Camera Effects,100+ Cinematic Post Processing Profiles,Eldamar Studio,"100+ Cinematic Post Processing Profiles, post-processing, post, fx, effect, Processing, Camera, Mobile, Realistic, Shader, LUTs, Filter, Image Effect, Color grading,",12/8/2020 9:19,1.0,,E:/Game Assets/LUTS/100-Cinematic-Post-Processing-Profiles-For-Unity-9yh3cx/100 Cinematic Post Processing Profiles.unitypackage,Unknown,,6.95,,0,2,VFX Shaders Fullscreen Camera Effects,100 Cinematic Post Processing Profiles,Eldamar Studio,2019.3.3,1.0
184,0,0,AssetStorePackage,2D/Textures & Materials,"100+ Stylized Historical Textures - Medieval, Egyptian, Roman & More",Game Buffs,"100+ Stylized Historical Textures - Medieval, Egyptian, Roman & More",8/6/2024 15:28,1.1.0,,[ac]/Game Buffs/Textures Materials/100 Stylized Historical Textures - Medieval Egyptian Roman More.unitypackage,Unknown,,29.99,9/29/2025 20:48,0,7,Textures Materials,100 Stylized Historical Textures - Medieval Egyptian Roman More,Game Buffs,"2020.3.0, 2021.3.0",1.1.0
